Date/Time,T [outside],T [comb 1/2],T [comb 4/5],T [comb 5/6],Humidity
2018/11/07 09:37:00,9.8,34.0,25.0,23.8,50.0 
2018/11/07 09:42:00,9.8,34.0,25.0,23.8,50.1 
2018/11/07 09:47:00,9.8,34.0,25.0,23.8,50.3 
2018/11/07 09:52:00,10.0,33.7,25.0,23.7,52.3
2018/11/07 10:07:00,10.3,34.2,25.0,23.7,52.1
2018/11/07 10:12:00,10.3,34.2,25.0,23.6,51.5
2018/11/07 10:17:00,10.5,34.2,24.7,23.5,49.7
2018/11/07 10:22:00,10.5,34.2,24.7,23.7,50.0
2018/11/07 10:27:00,10.8,34.0,24.7,23.7,47.7
2018/11/07 10:32:00,10.8,34.2,24.7,23.7,48.8
2018/11/07 10:37:00,11.0,34.0,24.7,23.7,49.0
2018/11/07 10:42:00,11.0,34.2,24.7,23.7,48.5
2018/11/07 10:47:00,11.3,34.2,24.7,23.7,48.1
2018/11/07 10:52:00,11.3,34.0,24.7,23.7,49.4
2018/11/07 10:57:00,11.5,34.0,25.0,23.7,48.3
2018/11/07 11:02:00,11.5,34.2,25.0,23.7,49.0
2018/11/07 11:07:00,11.8,34.0,24.7,23.6,47.8
2018/11/07 11:12:00,11.8,34.0,24.7,23.6,49.7
2018/11/07 11:17:00,12.0,34.0,24.7,23.6,48.0
2018/11/07 11:22:00,12.0,33.7,24.7,23.6,48.0
2018/11/07 11:27:00,12.3,34.0,24.7,23.7,47.3
2018/11/07 11:32:00,12.5,34.0,24.7,23.6,47.9
2018/11/07 11:37:00,12.8,34.0,24.7,23.6,48.2
2018/11/07 11:42:00,15.8,34.0,24.7,23.6,49.0
2018/11/07 11:47:00,22.2,34.0,24.7,23.6,48.6
2018/11/07 11:52:00,29.2,34.0,24.5,23.5,48.5
2018/11/07 12:07:00,17.5,34.0,24.5,23.6,49.2
2018/11/07 12:12:00,16.5,33.7,24.7,23.6,48.5
2018/11/07 12:17:00,16.0,34.0,24.7,23.5,47.9
2018/11/07 12:22:00,15.5,34.0,24.5,23.6,48.8
2018/11/07 12:27:00,15.5,34.2,24.5,23.6,48.7
2018/11/07 12:32:00,15.3,34.2,24.7,23.5,48.7
